ticker,ROE_%,P_E,P_BV,FCF_Yield_%,Div_RUB,Rev_Growth_%,Debt_EBITDA
AFKS,79.4,-0.44,-0.13,-470.8,0.52,1.73,3.46
AFLT,41.8,6.54,7.9,-76.7,5.29,1.66,2.76
ALRS,-3.5,-10.3,0.37,-32.9,2.49,-18.67,3.2
ASTR,61.0,6.68,16.6,0.7,4.677,5.39,0.32
BELU,18.3,7.11,4.12,3.7,10.0,3.48,0.99
BSPB,10.1,3.64,,,45.4,-3.78,1.0
CBOM,7.0,9.23,,,,5.0,1.0
CHMF,-0.1,-840.9,1.06,-13.4,118.42,-6.92,0.87
CNRU,99.9,12.9,29.4,8.8,157.0,9.21,-0.81
DIAS,24.8,9.19,14.0,16.7,136.0,-14.69,-0.4
DOMRF,23.8,3.61,,,246.88,18.48,
ENPG,7.7,3.24,0.32,-26.1,,-0.41,3.44
FEES,10.2,0.61,0.06,50.7,,7.91,0.57
FLOT,1.4,38.0,0.53,4.0,4.87,18.42,0.93
GAZP,7.7,1.43,0.11,-13.8,0.0,3.19,1.82
GMKN,22.3,8.79,2.0,7.1,1.85,6.28,1.22
HEAD,-3239.7,6.69,-9.74,13.7,433.0,-0.24,-0.36
IRAO,9.9,2.07,0.22,-25.9,0.3214,7.67,-1.94
IVAT,18.0,5.65,4.37,-9.4,,-2.81,0.43
LKOH,12.0,7.71,0.95,24.1,675.0,4.01,-0.29
MAGN,-6.0,-6.52,0.4,4.9,2.494,-5.13,-1.3
MDMG,28.8,8.89,3.62,9.4,47.0,12.64,0.41
MGNT,-30.7,-3.88,-8.93,-56.2,412.13,6.1,2.86
MOEX,24.8,5.43,1.65,0.0,19.57,6.9,0.0
MTLR,33.6,-0.27,-0.09,-48.5,0.0,-12.16,-62.7
MTSS,1313.1,6.89,-1.64,10.3,35.0,5.44,2.18
NLMK,4.3,11.0,0.49,4.2,25.43,-6.13,-0.28
NMTP,21.5,3.17,0.81,16.5,1.145,1.31,-1.02
NVTK,6.1,16.8,1.02,10.6,82.73,2.21,-0.05
OZON,-13.8,25.2,-3.46,11.3,213.55,20.54,1.08
OZPH,21.4,6.56,2.01,12.5,1.3,4.75,0.38
PHOR,42.9,7.07,3.08,2.8,273.0,0.0,1.78
PLZL,80.3,6.68,5.36,4.7,121.85,6.02,3.11
POSI,52.1,6.36,-9.05,10.6,28.08,9.06,0.84
PRMD,26.8,11.5,4.28,-5.7,8.0,0.0,1.42
RAGR,4.8,5.77,0.29,-27.8,16.48,3.03,3.43
RENI,9.3,7.63,0.98,0.0,10.0,4.47,
RNFT,18.0,0.86,0.17,-34.4,0.0,0.41,2.34
ROSN,2.7,13.6,0.36,21.4,13.83,0.32,0.0
RTKM,4.6,13.8,-9.74,10.6,2.71,4.82,1.68
RUAL,-3.6,-11.9,0.53,-16.5,1.2,-1.45,5.87
SBER,24.0,3.31,,,37.64,4.17,1.0
SELG,-25.3,-9.97,2.68,-114.3,4.0,14.27,3.58
SFIN,-6.5,-8.02,0.52,145.2,1074.0,-69.59,
SGZH,543.7,-0.65,-2.7,-36.9,1.06,-7.74,-2.02
SIBN,12.0,6.68,0.85,-12.0,70.62,2.91,0.92
SNGS,18.7,0.65,0.12,115.5,0.85,0.0,-9.39
SOFL,14.2,6.14,-21.4,-75.8,0.18,5.45,3.19
SVCB,15.0,3.03,,,0.35,13.93,1.0
TATN,19.0,5.02,0.97,17.8,52.62,0.22,-0.3
TRMK,-631.9,-1.32,-1.57,-35.5,22.96,-21.66,6.02
TRNFP,7.6,4.1,0.32,30.2,204.17,1.46,-0.54
UPRO,17.6,1.6,0.28,0.0,0.0,0.0,-1.87
VKCO,-9.8,-5.33,-1.84,-4.1,,5.31,2.34
VTBR,13.0,1.57,,,9.71,7.94,1.0
WUSH,-121.0,-1.57,2.31,-7.2,,1.6,3.1
X5,126.3,5.93,-3.74,4.6,613.0,5.11,1.05
SMLT,-6.5,-35.1,-6.55,-357.4,82.0,8.17,2.98
T,29.1,4.97,,,14.9,42.56,1.0
UGLD,24.1,8.03,1.94,-8.5,,43.35,1.83
PIKK,16.7,4.74,0.8,-19.9,0.0,13.94,-0.32
GOLD,18.8,14.9,3.17,5.64,,,-0.2
